Production Record No;Company;Customer;Start Date;End Date;Production No;Recipe No;Receipt;Reçete;Quantity;Quantity to be produced;Return concrete;Return concrete note;Order Code;Jobsite;Driver;Ek Madde;Ek Maddenin Miktarı;Ek Madde 2;Ek Maddenin Miktarı 2;Nakliyat Bölgesi;Vehicle;Agg1;Agg2;Agg3;Agg4;Agg5;Agg6;Cem1;Cem2;Cem3;Cem4;Add1;Add2;Add3;Add4;Add5;Wat1;Wat2;Extra Water1;Extra Water2;Statu;Agg1Girilen Hata;Agg1Hesaplanan Hata;Agg2Girilen Hata;Agg2Hesaplanan Hata;Agg3Girilen Hata;Agg3Hesaplanan Hata;Agg4Girilen Hata;Agg4Hesaplanan Hata;Cem1Girilen Hata;Cem1Hesaplanan Hata;Cem2Girilen Hata;Cem2Hesaplanan Hata;Cem3Girilen Hata;Cem3Hesaplanan Hata;Cem4Girilen Hata;Cem4Hesaplanan Hata;Add1Girilen Hata;Add1Hesaplanan Hata;Add2Girilen Hata;Add2Hesaplanan Hata;Add3Girilen Hata;Add3Hesaplanan Hata;Add4Girilen Hata;Add4Hesaplanan Hata;Wa1Girilen Hata;Wa1Hesaplanan Hata;Wa2Girilen Hata;Wa2Hesaplanan Hata;Ag1YuzdeFark;Ag2YuzdeFark;Ag3YuzdeFark;Ag4YuzdeFark;Cim1YuzdeFark;Cim2YuzdeFark;Cim3YuzdeFark;Cim4YuzdeFark;Kat1YuzdeFark;Kat2YuzdeFark;Kat3YuzdeFark;Kat4YuzdeFark;Su1YuzdeFark;Su2YuzdeFark
71370;BAUPARTNER;PRECAST CONCRETE;09/02/2026  14:08;09/02/2026  14:10;71643;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;0,30;0,30;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;0,00;126,00;175,00;65,00;0,00;0,00;0,00;136,00;0,00;0,00;0,56;0,00;0,00;0,00;0,00;38,00;0,00;0;0;2;2,00;-99,07;2,00;-16,00;2,00;-22,22;2,00;-19,75;1,00;0,00;1,00;0,74;1,00;0,00;1,00;0,00;1,00;-99,54;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-100,00;-16,00;-22,22;-19,75;0,00;0,74;0,00;0,00;-99,54;0,00;0,00;0,00;0,00;0,00
71369;BAUPARTNER;PRECAST CONCRETE;09/02/2026  13:55;09/02/2026  13:57;71642;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;398,00;478,00;791,00;316,00;0,00;0,00;0,00;453,00;0,00;0,00;2,22;0,00;0,00;0,00;0,00;131,00;0,00;0;0;2;2,00;10,56;2,00;-4,40;2,00;5,47;2,00;17,04;1,00;0,00;1,00;0,67;1,00;0,00;1,00;0,00;1,00;-99,45;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,77;1,00;0,00;10,56;-4,40;5,47;17,04;0,00;0,67;0,00;0,00;-99,45;0,00;0,00;0,00;0,77;0,00
71368;BAUPARTNER;PRECAST CONCRETE;09/02/2026  13:42;09/02/2026  13:45;71641;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;342,00;527,00;752,00;240,00;0,00;0,00;0,00;444,00;0,00;0,00;2,05;0,00;0,00;0,00;0,00;130,00;0,00;0;0;2;2,00;-5,00;2,00;5,61;2,00;0,27;2,00;-11,11;1,00;0,00;1,00;-1,33;1,00;0,00;1,00;0,00;1,00;-99,49;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-5,00;5,61;0,27;-11,11;0,00;-1,33;0,00;0,00;-99,49;0,00;0,00;0,00;0,00;0,00
71367;BAUPARTNER;PRECAST CONCRETE;09/02/2026  13:29;09/02/2026  13:31;71640;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;361,00;495,00;745,00;276,00;0,00;0,00;0,00;446,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;131,00;0,00;0;0;2;2,00;0,28;2,00;-1,20;2,00;-0,67;2,00;2,22;1,00;0,00;1,00;-0,89;1,00;0,00;1,00;0,00;1,00;-99,50;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;0,28;-1,20;-0,67;2,22;0,00;-0,89;0,00;0,00;-99,50;0,00;0,00;0,00;0,00;0,00
71366;BAUPARTNER;PRECAST CONCRETE;09/02/2026  13:18;09/02/2026  13:20;71639;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;360,00;496,00;737,00;285,00;0,00;0,00;0,00;453,00;0,00;0,00;2,16;0,00;0,00;0,00;0,00;127,00;0,00;0;0;2;2,00;0,00;2,00;-0,80;2,00;-1,73;2,00;5,56;1,00;0,00;1,00;0,67;1,00;0,00;1,00;0,00;1,00;-99,47;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;0,00;-0,80;-1,73;5,56;0,00;0,67;0,00;0,00;-99,47;0,00;0,00;0,00;0,00;0,00
71365;BAUPARTNER;PRECAST CONCRETE;09/02/2026  13:04;09/02/2026  13:07;71638;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;367,00;500,00;762,00;273,00;0,00;0,00;0,00;452,00;0,00;0,00;2,07;0,00;0,00;0,00;0,00;124,00;0,00;0;0;2;2,00;1,94;2,00;-0,40;2,00;1,60;2,00;1,11;1,00;0,00;1,00;0,44;1,00;0,00;1,00;0,00;1,00;-99,47;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,94;-0,40;1,60;1,11;0,00;0,44;0,00;0,00;-99,47;0,00;0,00;0,00;0,00;0,00
71364;BAUPARTNER;PRECAST CONCRETE;09/02/2026  12:52;09/02/2026  12:55;71636;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;370,00;501,00;754,00;276,00;0,00;0,00;0,00;453,00;0,00;0,00;2,01;0,00;0,00;0,00;0,00;122,00;0,00;0;0;2;2,00;2,78;2,00;0,00;2,00;0,53;2,00;2,22;1,00;0,00;1,00;0,67;1,00;0,00;1,00;0,00;1,00;-99,48;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;2,78;0,00;0,53;2,22;0,00;0,67;0,00;0,00;-99,48;0,00;0,00;0,00;0,00;0,00
71363;BAUPARTNER;PRECAST CONCRETE;09/02/2026  12:41;09/02/2026  12:43;71637;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;362,00;519,00;766,00;254,00;0,00;0,00;0,00;450,00;0,00;0,00;1,98;0,00;0,00;0,00;0,00;123,00;0,00;0;0;2;2,00;0,56;2,00;3,80;2,00;2,13;2,00;-5,93;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;-99,49;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;0,56;3,80;2,13;-5,93;0,00;0,00;0,00;0,00;-99,49;0,00;0,00;0,00;0,00;0,00
71362;BAUPARTNER;PRECAST CONCRETE;09/02/2026  12:30;09/02/2026  12:32;71635;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;331,00;497,00;745,00;279,00;0,00;0,00;0,00;452,00;0,00;0,00;1,95;0,00;0,00;0,00;0,00;123,00;0,00;2;0;2;2,00;-8,06;2,00;-0,60;2,00;-0,67;2,00;3,33;1,00;0,00;1,00;0,44;1,00;0,00;1,00;0,00;1,00;-99,50;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;-8,06;-0,60;-0,67;3,33;0,00;0,44;0,00;0,00;-99,50;0,00;0,00;0,00;0,00;0,00
71361;BAUPARTNER;PRECAST CONCRETE;09/02/2026  12:18;09/02/2026  12:20;71634;27;SIKA SUPLJA PLOCA;SIKA SUPLJA PLOCA;1,00;1,00;0,00;;;LUKAVAC;MUSTAFA;;;;;;IVECO 567;394,00;483,00;763,00;268,00;0,00;0,00;0,00;450,00;0,00;0,00;2,06;0,00;0,00;0,00;0,00;120,00;0,00;0;0;2;2,00;9,44;2,00;-3,40;2,00;1,73;2,00;-0,74;1,00;0,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;-99,47;1,00;0,00;1,00;0,00;1,00;0,00;1,00;-0,83;1,00;0,00;9,44;-3,40;1,73;-0,74;0,00;0,00;0,00;0,00;-99,47;0,00;0,00;0,00;-0,83;0,00
